task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
113	e2/d54de5	196485946	VCF2MAF_GERMLINE_WORKING (58)	COMPLETED	0	2025-07-18 14:36:19.071	29.4s	6.2s	62.9%	153.2 MB	202.5 MB	120.7 MB	1.6 MB
115	18/1cc0b2	196485947	VCF2MAF_SOMATIC_WORKING (57)	COMPLETED	0	2025-07-18 14:36:19.235	29.3s	20.8s	81.6%	492.8 MB	538.7 MB	552.3 MB	4.5 MB
122	57/c60270	196485949	VCF2MAF_SOMATIC_WORKING (60)	COMPLETED	0	2025-07-18 14:36:19.397	59.1s	28.2s	83.0%	537.4 MB	583.8 MB	762.4 MB	5.3 MB
116	66/feea74	196485948	VCF2MAF_SOMATIC_WORKING (58)	COMPLETED	0	2025-07-18 14:36:19.325	59.1s	23s	81.3%	542.1 MB	590.5 MB	645.5 MB	4.3 MB
101	a5/fda386	196485928	VCF2MAF_SOMATIC_WORKING (51)	COMPLETED	0	2025-07-18 14:35:48.776	1m 30s	1m 25s	84.9%	1.4 GB	1.5 GB	2.2 GB	21 MB
119	8c/4d14ca	196485958	VCF2MAF_GERMLINE_WORKING (61)	COMPLETED	0	2025-07-18 14:36:48.692	29.8s	4.9s	76.7%	145.3 MB	191.9 MB	108 MB	1.6 MB
118	ff/8ef697	196485959	VCF2MAF_GERMLINE_WORKING (60)	COMPLETED	0	2025-07-18 14:36:48.773	29.7s	6.1s	67.2%	167.1 MB	214 MB	132 MB	1.8 MB
121	56/564991	196485960	VCF2MAF_GERMLINE_WORKING (62)	COMPLETED	0	2025-07-18 14:36:48.847	29.7s	5.5s	72.1%	134.7 MB	181.7 MB	119.5 MB	1.6 MB
125	20/9b92f6	196485962	VCF2MAF_GERMLINE_WORKING (63)	COMPLETED	0	2025-07-18 14:36:49.110	29.5s	5.3s	56.6%	161.1 MB	209.1 MB	100.7 MB	1.4 MB
124	01/57037a	196485964	VCF2MAF_SOMATIC_WORKING (62)	COMPLETED	0	2025-07-18 14:36:49.590	29s	9.2s	78.9%	255.4 MB	301.2 MB	253.9 MB	2.2 MB
120	52/52e24a	196485963	VCF2MAF_SOMATIC_WORKING (59)	COMPLETED	0	2025-07-18 14:36:49.496	29.1s	18.4s	76.5%	425.5 MB	470.7 MB	394.7 MB	2.9 MB
123	29/1e0916	196485961	VCF2MAF_SOMATIC_WORKING (61)	COMPLETED	0	2025-07-18 14:36:48.920	59.5s	35.4s	80.0%	690.1 MB	736.5 MB	953.5 MB	6.1 MB
126	22/329044	196485974	VCF2MAF_GERMLINE_WORKING (64)	COMPLETED	0	2025-07-18 14:37:18.828	29.6s	7.3s	64.0%	152.5 MB	197.6 MB	115.3 MB	1.6 MB
127	6f/f2d38f	196485975	VCF2MAF_GERMLINE_WORKING (65)	COMPLETED	0	2025-07-18 14:37:18.908	29.6s	6.7s	61.5%	128.9 MB	174.7 MB	100.4 MB	1.8 MB
132	3f/d05757	196485977	VCF2MAF_GERMLINE_WORKING (67)	COMPLETED	0	2025-07-18 14:37:19.233	29.3s	8.5s	71.7%	172 MB	216.8 MB	158.6 MB	2 MB
129	df/9e33f4	196485976	VCF2MAF_GERMLINE_WORKING (66)	COMPLETED	0	2025-07-18 14:37:19.067	29.4s	6s	70.9%	182.8 MB	228.9 MB	138.2 MB	1.7 MB
128	5e/78c5d7	196485978	VCF2MAF_SOMATIC_WORKING (63)	COMPLETED	0	2025-07-18 14:37:19.307	29.2s	15s	73.5%	351.7 MB	400.6 MB	381.4 MB	3 MB
133	e0/83497e	196485980	VCF2MAF_GERMLINE_WORKING (68)	COMPLETED	0	2025-07-18 14:37:19.467	29.1s	6s	69.4%	179.5 MB	227.6 MB	119.2 MB	1.7 MB
137	ff/72e758	196485982	VCF2MAF_SOMATIC_WORKING (67)	COMPLETED	0	2025-07-18 14:37:19.616	28.9s	12.3s	73.4%	304.7 MB	351.2 MB	317.5 MB	2.8 MB
130	38/619524	196485979	VCF2MAF_SOMATIC_WORKING (64)	COMPLETED	0	2025-07-18 14:37:19.378	59.1s	33s	79.5%	756 MB	802.4 MB	908.7 MB	6.1 MB
131	f9/2c18c1	196485981	VCF2MAF_SOMATIC_WORKING (65)	COMPLETED	0	2025-07-18 14:37:19.543	58.9s	40.3s	77.9%	775.3 MB	823.6 MB	1 GB	6.9 MB
134	85/91880f	196485988	VCF2MAF_GERMLINE_WORKING (69)	COMPLETED	0	2025-07-18 14:37:48.653	29.8s	5.5s	69.6%	145.7 MB	195.3 MB	112.5 MB	1.7 MB
136	80/a602f3	196485989	VCF2MAF_GERMLINE_WORKING (70)	COMPLETED	0	2025-07-18 14:37:48.727	29.8s	5.6s	63.8%	193.6 MB	243.3 MB	119.3 MB	1.5 MB
135	5b/0cabed	196485990	VCF2MAF_SOMATIC_WORKING (66)	COMPLETED	0	2025-07-18 14:37:48.803	29.7s	19.7s	78.5%	434 MB	482.7 MB	563 MB	3.9 MB
138	47/ebae60	196485991	VCF2MAF_SOMATIC_WORKING (68)	COMPLETED	0	2025-07-18 14:37:48.876	29.6s	20.4s	78.7%	373.9 MB	420.3 MB	520.5 MB	4.1 MB
140	60/d76160	196485992	VCF2MAF_GERMLINE_WORKING (71)	COMPLETED	0	2025-07-18 14:37:48.946	29.6s	5.4s	63.0%	131.8 MB	178.5 MB	98 MB	1.5 MB
142	9b/4a107c	196485993	VCF2MAF_SOMATIC_WORKING (70)	COMPLETED	0	2025-07-18 14:37:49.018	29.5s	22.8s	78.9%	452.3 MB	498.1 MB	586.2 MB	3.9 MB
141	e6/800817	196485995	VCF2MAF_GERMLINE_WORKING (72)	COMPLETED	0	2025-07-18 14:37:49.223	29.4s	5.5s	72.6%	148 MB	195.4 MB	124.9 MB	1.6 MB
145	41/8dd902	196486011	VCF2MAF_SOMATIC_WORKING (72)	COMPLETED	0	2025-07-18 14:38:18.720	29.8s	16.1s	79.2%	505.2 MB	554.3 MB	469.3 MB	3.5 MB
144	91/39c165	196486012	VCF2MAF_GERMLINE_WORKING (73)	COMPLETED	0	2025-07-18 14:38:18.803	29.7s	5.4s	68.4%	166.7 MB	213.2 MB	107.7 MB	1.6 MB
146	f6/7ba66f	196486013	VCF2MAF_SOMATIC_WORKING (73)	COMPLETED	0	2025-07-18 14:38:18.875	29.6s	19.9s	78.5%	383.4 MB	430 MB	517.8 MB	3.8 MB
147	9a/abd25c	196486014	VCF2MAF_SOMATIC_WORKING (74)	COMPLETED	0	2025-07-18 14:38:18.949	29.5s	12s	77.8%	306.8 MB	353 MB	297.1 MB	2.7 MB
151	53/a236d8	196486017	VCF2MAF_SOMATIC_WORKING (78)	COMPLETED	0	2025-07-18 14:38:19.324	29.2s	16.6s	77.9%	322 MB	371.5 MB	468.1 MB	3.3 MB
150	87/e63280	196486016	VCF2MAF_SOMATIC_WORKING (77)	COMPLETED	0	2025-07-18 14:38:19.250	29.3s	16.7s	74.7%	402.5 MB	448.4 MB	405.2 MB	3.4 MB
143	7d/920511	196485994	VCF2MAF_SOMATIC_WORKING (71)	COMPLETED	0	2025-07-18 14:37:49.150	59.3s	46.9s	84.4%	959.3 MB	1005.3 MB	1.3 GB	8.7 MB
149	eb/e9e47f	196486015	VCF2MAF_SOMATIC_WORKING (76)	COMPLETED	0	2025-07-18 14:38:19.168	29.3s	23.9s	83.5%	521.1 MB	567.3 MB	668.7 MB	4.4 MB
139	b8/a88432	196486010	VCF2MAF_SOMATIC_WORKING (69)	COMPLETED	0	2025-07-18 14:38:18.638	59.8s	36.8s	82.7%	884.6 MB	933.9 MB	1 GB	6.9 MB
148	8d/48c9e8	196486018	VCF2MAF_SOMATIC_WORKING (75)	COMPLETED	0	2025-07-18 14:38:19.395	59.1s	24s	80.2%	606.2 MB	654.5 MB	643.5 MB	4.7 MB
152	4b/ee9d5d	196486023	VCF2MAF_SOMATIC_WORKING (79)	COMPLETED	0	2025-07-18 14:38:48.684	29.8s	12.6s	80.8%	349.1 MB	397.5 MB	359.4 MB	3 MB
157	30/ffa66d	196486027	VCF2MAF_SOMATIC_WORKING (84)	COMPLETED	0	2025-07-18 14:38:48.993	29.5s	21.5s	76.4%	467.2 MB	515.9 MB	557.7 MB	4.2 MB
156	4d/c62665	196486028	VCF2MAF_SOMATIC_WORKING (83)	COMPLETED	0	2025-07-18 14:38:49.216	29.3s	19.4s	79.1%	441 MB	487.4 MB	460.6 MB	3.6 MB
155	f7/fa5886	196486026	VCF2MAF_SOMATIC_WORKING (82)	COMPLETED	0	2025-07-18 14:38:48.918	29.6s	28.3s	83.9%	563.3 MB	609.8 MB	854.1 MB	5.1 MB
159	8e/124a52	196486029	VCF2MAF_SOMATIC_WORKING (86)	COMPLETED	0	2025-07-18 14:38:49.296	59.2s	33.4s	85.0%	761.9 MB	810.4 MB	1013.9 MB	6.3 MB
