Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples
PRAMEF33	1	1	0	0	1	1	0	0	0	4	4	4
PRAMEF5	0	0	0	0	0	4	0	0	0	4	4	4
PRAMEF8	0	0	0	0	0	0	0	4	0	4	4	4
PRRC2A	1	0	0	0	3	0	0	0	0	4	4	4
PSME4	0	0	0	0	3	0	0	1	0	4	4	4
PTCH1	0	0	0	0	4	0	0	0	0	4	4	4
PTCH2	0	0	0	0	3	0	0	1	0	4	4	4
PTPRU	0	0	0	0	4	0	0	0	0	4	4	4
RASA1	1	0	0	0	2	0	0	1	0	4	4	4
RELN	0	0	0	0	3	0	0	1	0	4	4	4
REV3L	0	0	0	0	3	0	0	1	0	4	4	4
RFC3	3	1	0	0	0	0	0	0	0	4	4	4
RFPL4AL1	0	0	0	0	0	4	0	0	0	4	4	4
RGS11	0	0	0	0	0	4	0	0	0	4	4	4
RNF111	1	0	0	0	3	0	0	0	0	4	4	4
RP1L1	0	2	0	0	1	1	0	0	0	4	4	4
RUSC2	0	0	0	0	3	0	0	1	0	4	4	4
SCN3A	0	0	0	0	3	0	0	1	0	4	4	4
SCN9A	0	0	0	0	2	1	0	1	0	4	4	4
SCRT1	0	0	0	0	4	0	0	0	0	4	4	4
SERINC1	0	0	1	0	2	0	0	1	0	4	4	4
SETX	0	0	0	0	4	0	0	0	0	4	4	4
SEZ6L	0	0	0	0	4	0	0	0	0	4	4	4
SI	0	0	0	0	3	1	0	0	0	4	4	4
SLC17A4	0	0	0	0	1	3	0	0	0	4	4	4
SLC35F4	0	0	0	0	4	0	0	0	0	4	4	4
SPAG6	0	0	1	0	3	0	0	0	0	4	4	4
SPTB	0	0	0	0	4	0	0	0	0	4	4	4
STARD9	0	0	0	0	4	0	0	0	0	4	4	4
SWT1	0	0	0	0	4	0	0	0	0	4	4	4
TACC2	0	0	0	0	4	0	0	0	0	4	4	4
TAF1L	0	0	1	0	3	0	0	0	0	4	4	4
TAS2R8	0	2	0	0	2	0	0	0	0	4	4	4
TBC1D32	0	0	0	0	3	0	0	1	0	4	4	4
TBC1D3B	0	0	0	0	0	4	0	0	0	4	4	4
TCHH	0	0	0	0	3	1	0	0	0	4	4	4
TET1	0	0	0	0	4	0	0	0	0	4	4	4
TET3	0	0	0	0	4	0	0	0	0	4	4	4
